date,OT
2001/1/6 0:00,0
2001/1/6 1:00,0
2001/1/6 2:00,0
2001/1/6 3:00,0
2001/1/6 4:00,0
2001/1/6 5:00,0
2001/1/6 6:00,0
2001/1/6 7:00,0
2001/1/6 8:00,0.08
2001/1/6 9:00,2.17
2001/1/6 10:00,2.92
2001/1/6 11:00,2.77
2001/1/6 12:00,2.17
2001/1/6 13:00,0.61
2001/1/6 14:00,0.5
2001/1/6 15:00,0.27
2001/1/6 16:00,0
2001/1/6 17:00,0
2001/1/6 18:00,0
2001/1/6 19:00,0
2001/1/6 20:00,0
2001/1/6 21:00,0
2001/1/6 22:00,0
2001/1/6 23:00,0
2001/2/6 0:00,0
2001/2/6 1:00,0
2001/2/6 2:00,0
2001/2/6 3:00,0
2001/2/6 4:00,0
2001/2/6 5:00,0
2001/2/6 6:00,0
2001/2/6 7:00,0.01
2001/2/6 8:00,0.23
2001/2/6 9:00,0.03
2001/2/6 10:00,1.91
2001/2/6 11:00,0.83
2001/2/6 12:00,1.22
2001/2/6 13:00,0.19
2001/2/6 14:00,0.12
2001/2/6 15:00,0.02
2001/2/6 16:00,0
2001/2/6 17:00,0
2001/2/6 18:00,0
2001/2/6 19:00,0
2001/2/6 20:00,0
2001/2/6 21:00,0
2001/2/6 22:00,0
2001/2/6 23:00,0
2001/3/6 0:00,0
2001/3/6 1:00,0
2001/3/6 2:00,0
2001/3/6 3:00,0
2001/3/6 4:00,0
2001/3/6 5:00,0
2001/3/6 6:00,0
2001/3/6 7:00,0.8
2001/3/6 8:00,1.86
2001/3/6 9:00,1.89
2001/3/6 10:00,1.9
2001/3/6 11:00,1.45
2001/3/6 12:00,2.86
2001/3/6 13:00,2.79
2001/3/6 14:00,1.99
2001/3/6 15:00,0.81
2001/3/6 16:00,0
2001/3/6 17:00,0
2001/3/6 18:00,0
2001/3/6 19:00,0
2001/3/6 20:00,0
2001/3/6 21:00,0
2001/3/6 22:00,0
2001/3/6 23:00,0
2001/4/6 0:00,0
2001/4/6 1:00,0
2001/4/6 2:00,0
2001/4/6 3:00,0
2001/4/6 4:00,0
2001/4/6 5:00,0
2001/4/6 6:00,0
2001/4/6 7:00,0.78
2001/4/6 8:00,1.76
2001/4/6 9:00,1.94
2001/4/6 10:00,3.06
2001/4/6 11:00,3.25
2001/4/6 12:00,3.08
2001/4/6 13:00,2.73
2001/4/6 14:00,2.16
2001/4/6 15:00,0.89
2001/4/6 16:00,0
2001/4/6 17:00,0
2001/4/6 18:00,0
2001/4/6 19:00,0
2001/4/6 20:00,0
2001/4/6 21:00,0
2001/4/6 22:00,0
2001/4/6 23:00,0
2001/5/6 0:00,0
2001/5/6 1:00,0
2001/5/6 2:00,0
2001/5/6 3:00,0
2001/5/6 4:00,0
2001/5/6 5:00,0
2001/5/6 6:00,0
2001/5/6 7:00,0.77
2001/5/6 8:00,1.78
2001/5/6 9:00,2.13
2001/5/6 10:00,2.94
2001/5/6 11:00,2.96
2001/5/6 12:00,2.94
2001/5/6 13:00,2.68
2001/5/6 14:00,1.95
2001/5/6 15:00,0.86
2001/5/6 16:00,0
2001/5/6 17:00,0
2001/5/6 18:00,0
2001/5/6 19:00,0
2001/5/6 20:00,0
2001/5/6 21:00,0
2001/5/6 22:00,0
2001/5/6 23:00,0
2001/6/6 0:00,0
2001/6/6 1:00,0
2001/6/6 2:00,0
2001/6/6 3:00,0
2001/6/6 4:00,0
2001/6/6 5:00,0
2001/6/6 6:00,0
2001/6/6 7:00,0.77
2001/6/6 8:00,1.81
2001/6/6 9:00,1.93
2001/6/6 10:00,3.05
2001/6/6 11:00,3.2
2001/6/6 12:00,3.09
2001/6/6 13:00,2.68
2001/6/6 14:00,2.08
2001/6/6 15:00,0.86
2001/6/6 16:00,0
2001/6/6 17:00,0
2001/6/6 18:00,0
2001/6/6 19:00,0
2001/6/6 20:00,0
2001/6/6 21:00,0
2001/6/6 22:00,0
2001/6/6 23:00,0
2001/7/6 0:00,0
2001/7/6 1:00,0
2001/7/6 2:00,0
2001/7/6 3:00,0
2001/7/6 4:00,0
2001/7/6 5:00,0
2001/7/6 6:00,0
2001/7/6 7:00,0.77
2001/7/6 8:00,1.79
2001/7/6 9:00,2.08
2001/7/6 10:00,3.08
2001/7/6 11:00,3.19
2001/7/6 12:00,3.23
2001/7/6 13:00,2.86
2001/7/6 14:00,2.09
2001/7/6 15:00,1
2001/7/6 16:00,0
2001/7/6 17:00,0
2001/7/6 18:00,0
2001/7/6 19:00,0
2001/7/6 20:00,0
2001/7/6 21:00,0
2001/7/6 22:00,0
2001/7/6 23:00,0
2001/8/6 0:00,0
2001/8/6 1:00,0
2001/8/6 2:00,0
2001/8/6 3:00,0
2001/8/6 4:00,0
2001/8/6 5:00,0
2001/8/6 6:00,0
2001/8/6 7:00,0.8
2001/8/6 8:00,1.79
2001/8/6 9:00,2.15
2001/8/6 10:00,3.03
2001/8/6 11:00,3.23
2001/8/6 12:00,3.23
2001/8/6 13:00,2.56
2001/8/6 14:00,1.95
2001/8/6 15:00,0.9
2001/8/6 16:00,0
2001/8/6 17:00,0
2001/8/6 18:00,0
2001/8/6 19:00,0
2001/8/6 20:00,0
2001/8/6 21:00,0
2001/8/6 22:00,0
2001/8/6 23:00,0
2001/9/6 0:00,0
2001/9/6 1:00,0
2001/9/6 2:00,0
2001/9/6 3:00,0
2001/9/6 4:00,0
2001/9/6 5:00,0
2001/9/6 6:00,0
2001/9/6 7:00,0.78
2001/9/6 8:00,1.82
2001/9/6 9:00,2.04
2001/9/6 10:00,2.98
2001/9/6 11:00,3.23
2001/9/6 12:00,3.06
2001/9/6 13:00,2.77
2001/9/6 14:00,2.05
2001/9/6 15:00,0.98
2001/9/6 16:00,0
2001/9/6 17:00,0
2001/9/6 18:00,0
2001/9/6 19:00,0
2001/9/6 20:00,0
2001/9/6 21:00,0
2001/9/6 22:00,0
2001/9/6 23:00,0
2001/10/6 0:00,0
2001/10/6 1:00,0
2001/10/6 2:00,0
2001/10/6 3:00,0
2001/10/6 4:00,0
2001/10/6 5:00,0
2001/10/6 6:00,0
2001/10/6 7:00,0.78
2001/10/6 8:00,1.78
2001/10/6 9:00,2.04
2001/10/6 10:00,2.98
2001/10/6 11:00,3.24
2001/10/6 12:00,3.17
2001/10/6 13:00,2.8
2001/10/6 14:00,2.2
2001/10/6 15:00,1.04
